Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2013-09-03,71.81,72.7699,71.79,72.56,3801500.0,0.0,1.0,63.81698525877358,64.67004087985556,63.79921141522567,64.48350439182023,3801500.0
2013-09-04,72.46,73.35,72.2,73.35,3333600.0,0.0,1.0,64.39463517408066,65.1855712119627,64.16357520795783,65.1855712119627,3333600.0
2013-09-05,73.34,74.23,73.14,74.04,2861600.0,0.0,1.0,65.17668429018875,65.96762032807078,64.99894585470963,65.79876881436563,2861600.0
2013-09-06,74.24,74.79,72.55,74.06,3584100.0,0.0,1.0,65.97650724984473,66.46528794741228,64.47461747004627,65.81654265791353,3584100.0
2013-09-09,74.11,74.55,73.78,74.25,2629600.0,0.0,1.0,65.86097726678331,66.25200182483735,65.56770884824279,65.98539417161868,2629600.0
2013-09-10,74.6,74.64,73.84,74.63,3925400.0,0.0,1.0,66.29643643370711,66.33198412080294,65.62103037888652,66.32309719902898,3925400.0
2013-09-11,74.58,75.19,74.33,75.18,3819200.0,0.28,1.0,66.52551049552294,67.06963172644636,66.30250999104612,67.0607117062673,3819200.0
2013-09-12,75.32,75.5,74.7,74.74,2823800.0,0.0,1.0,67.18559198877429,67.3461523519976,66.6325507376718,66.6682308183881,2823800.0
2013-09-13,74.92,75.249,74.12,74.48,3421000.0,0.0,1.0,66.82879118161141,67.12225984550288,66.1151895672856,66.43631029373222,3421000.0
2013-09-16,75.09,75.88,74.97,75.12,4224800.0,0.0,1.0,66.98043152465564,67.68511311880236,66.87339128250676,67.00719158519286,4224800.0
2013-09-17,75.11,75.35,73.93,74.31,5138100.0,0.0,1.0,66.99827156501378,67.21235204931152,65.94570918388322,66.28466995068798,5138100.0
2013-09-18,74.15,74.19,72.44,73.04,7725600.0,0.0,1.0,66.14194962782283,66.1776297085391,64.61662617720141,65.15182738794577,7725600.0
2013-09-19,73.09,73.12,70.62,70.84,8322900.0,0.0,1.0,65.19642748884114,65.22318754937835,62.99318250461022,63.18942294854981,8322900.0
