Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2013-09-03,45.52,46.45,45.08,46.01,47084100.0,0.0,1.0,32.86976133228463,33.54130961960943,32.55203956193741,33.22358784926221,47084100.0
2013-09-04,45.71,47.07,45.7,46.78,26556600.0,0.0,1.0,33.006959369480015,33.989008477825955,32.999738420153946,33.779600947369836,26556600.0
2013-09-05,47.11,47.58,46.325,46.64,17784300.0,0.0,1.0,34.017892275130244,34.357276893455676,33.451047753033514,33.67850765680481,17784300.0
2013-09-06,47.01,47.04,46.04,46.34,13434300.0,0.0,1.0,33.945682781869515,33.967345629847735,33.24525069724043,33.461879177022624,13434300.0
2013-09-09,46.35,46.4,45.82,45.91,12732600.0,0.0,1.0,33.46910012634869,33.50520487297906,33.08638981206682,33.15137835600147,12732600.0
2013-09-10,45.96,46.595,45.47,46.47,19005500.0,0.0,1.0,33.187483102631845,33.64601338483748,32.83365658565426,33.555751518261566,19005500.0
2013-09-11,46.49,46.9,46.32,46.52,16048000.0,0.0,1.0,33.57019341691372,33.86625233928271,33.44743727837047,33.59185626489194,16048000.0
2013-09-12,46.6,47.52,46.44,47.35,18127800.0,0.0,1.0,33.64962385950052,34.31395119749924,33.534088670283346,34.191195058956,18127800.0
2013-09-13,47.8,48.36,47.56,47.76,16631800.0,0.0,1.0,34.516137778629286,34.92051094088938,34.34283499480354,34.487253981325,16631800.0
2013-09-16,48.31,48.5,48.06,48.3,15342700.0,0.0,1.0,34.884406194259014,35.021604231454404,34.70388246110719,34.87718524493294,15342700.0
2013-09-17,48.47,48.7,48.2713,48.57,10265600.0,0.0,1.0,34.999941383476184,35.16602321797587,34.85646112036711,35.07215087673691,10265600.0
2013-09-18,48.51,48.83,47.87,48.72,10933800.0,0.0,1.0,35.02882518078047,35.25989555921481,34.566684423911795,35.18046511662801,10933800.0
2013-09-19,48.62,48.89,48.22,48.51,11498400.0,0.0,1.0,35.10825562336728,35.30322125517125,34.819417650324354,35.02882518078047,11498400.0
2013-09-20,48.59,48.59,47.54,47.78,15178200.0,0.0,1.0,35.086592775389065,35.086592775389065,34.32839309615139,34.50169587997714,15178200.0
2013-09-23,47.71,48.0,47.37,47.981,9088700.0,0.0,1.0,34.45114923469463,34.66055676515075,34.20563695760814,34.64683696143121,9088700.0
2013-09-24,47.69,47.7,46.88,47.27,16939100.0,0.0,1.0,34.43670733604248,34.44392828536856,33.851810440630565,34.13342746434742,16939100.0
2013-09-25,47.3,47.35,46.76,46.945,13291600.0,0.0,1.0,34.15509031232563,34.191195058956,33.765159048717685,33.89874661125004,13291600.0
2013-09-26,47.05,47.71,47.05,47.67,10233200.0,0.0,1.0,33.9745665791738,34.45114923469463,33.9745665791738,34.42226543739034,10233200.0
2013-09-27,47.42,47.45,46.69,47.0,10311600.0,0.0,1.0,34.241741704238514,34.263404552216734,33.714612403435176,33.93846183254344,10311600.0
2013-09-30,46.57,46.915,46.32,46.675,12315600.0,0.0,1.0,33.6279610115223,33.87708376327182,33.44743727837047,33.703780979446066,12315600.0
2013-10-01,46.62,47.0,46.53,46.99,10054900.0,0.0,1.0,33.66406575815267,33.93846183254344,33.599077214218006,33.93124088321737,10054900.0
2013-10-02,46.84,46.98,46.33,46.79,11939100.0,0.0,1.0,33.82292664332628,33.924019933891294,33.45465822769655,33.786821896695905,11939100.0
2013-10-03,46.68,47.18,46.52,47.01,14961500.0,0.0,1.0,33.70739145410911,34.06843892041276,33.59185626489194,33.945682781869515,14961500.0
2013-10-04,47.05,47.12,46.65,47.1,47164000.0,0.0,1.0,33.9745665791738,34.02511322445632,33.68572860613089,34.010671325804175,47164000.0
2013-10-07,46.88,47.65,46.76,47.29,45152600.0,0.0,1.0,33.851810440630565,34.40782353873819,33.765159048717685,34.14786936299956,45152600.0
